Notice Date,Effective Date,Received,Company,City,No. Of Employees,Layoff/Closure
04/09/2014,06/30/2014,4/29/2014,"Cesar Chavez Student Center, SFU",San Francisco,94,Layoff Permanent
04/22/2014,07/20/2014,4/29/2014,"Sears Holding Corporation, Units 01548 &",Laguna Hills,120,Layoff Permanent
04/24/2014,04/11/2014,4/29/2014,Hewlett-Packard Company,Palo Alto,77,Layoff Permanent
04/24/2014,05/30/2014,4/29/2014,"Agilent Technologies, Inc.",Lake Forest,70,Closure Permanent
04/28/2014,06/27/2014,5/1/2014,"Supertex, Inc.",Sunnyvale,15,Layoff Permanent
04/28/2014,08/01/2014,5/2/2014,"Genesis Acquisition Management, Inc.",Simi Valley,4,Layoff Permanent
04/29/2014,06/30/2014,4/29/2014,"Trius Therapeutics, Inc.",San Diego,27,Layoff Not known
04/29/2014,07/03/2014,5/2/2014,EMD Millipore,San Diego,110,Closure Permanent
04/30/2014,04/30/2014,5/1/2014,"Contessa Premium Foods, Inc.",Los Angeles,239,Closure Permanent
04/30/2014,06/15/2014,5/5/2014,Symantec Corporation,Mountain View,12,Layoff Permanent
04/30/2014,06/28/2014,5/1/2014,"Sodexo, Inc.",Stockton,116,Layoff Permanent
04/30/2014,06/30/2014,5/2/2014,Boston Scientific Corporation,San Clemente,116,Closure Permanent
04/30/2014,07/03/2014,5/8/2014,Sutter East Bay Hospitals-Providence Pavillion,Oakland,4,Layoff Permanent
05/01/2014,06/30/2014,5/2/2014,"Easy Life Furniture, Inc.",Buena Park,47,Closure Permanent
05/01/2014,06/30/2014,5/6/2014,Metalclad,Fullerton,100,Closure Permanent
05/01/2014,06/30/2014,5/13/2014,URS,San Diego,193,Layoff Permanent
05/02/2014,06/30/2014,5/8/2014,ITT Canon LLC,Santa Ana,19,Layoff Permanent
05/02/2014,07/03/2014,5/7/2014,Ralphs Grocery Company,Chino,60,Closure Not known
05/05/2014,07/07/2014,5/8/2014,Sutter East Bay Hospitals - ABSMC Summit,Oakland,8,Layoff Permanent
05/06/2014,06/20/2014,5/7/2014,Verizon Wireless-lrvine,Irvine,152,Closure Permanent
05/06/2014,07/01/2014,5/7/2014,Actavis,Corona,2,Layoff Permanent
05/07/2014,07/07/2014,5/15/2014,"Intuit, Inc.",Menlo Park,7,Layoff Permanent
05/07/2014,07/11/2014,5/7/2014,TransUnion,Fullerton,106,Closure Permanent
05/09/2014,07/08/2014,5/13/2014,Courtesy Chevrolet,San Jose,100,Closure Permanent
05/09/2014,07/11/2014,5/13/2014,"Trinity Sports, Inc.",Los Angeles,135,Closure Permanent
05/09/2014,07/31/2014,5/21/2014,"Northrop Grumman Technical Services, Inc.",Fort Irwin,899,Layoff Not known
05/13/2014,05/30/2014,5/13/2014,"Avago Technologies, LSI Corporation",San Jose,86,Layoff Permanent
05/13/2014,07/03/2014,5/13/2014,Sheraton Los Angeles Downtown Hotel,Los Angeles,17,Layoff Temporary
05/13/2014,07/11/2014,5/14/2014,Ralphs Grocery Company,Laguna Niguel,66,Closure Not known
05/13/2014,07/30/2014,5/16/2014,Exel-Mondelez,Stockton,28,Closure Permanent
05/14/2014,05/13/2014,5/21/2014,Children's Hospital of Orange County,Orange,28,Layoff Permanent
05/14/2014,05/14/2014,5/21/2014,"Northrop Grumman Technical Services, Inc.",Fort Irwin,813,Layoff Not known
05/15/2014,05/16/2014,5/19/2014,Hewlett-Packard Company,Palo Alto,34,Layoff Permanent
05/15/2014,07/14/2014,5/19/2014,Intuit Inc.,Menlo Park,21,Layoff Permanent
05/19/2014,07/18/2014,5/22/2014,"Landmark Medical Management, LLC",Ontario,147,Layoff Permanent
05/19/2014,07/28/2014,5/20/2014,"MV Transportation, Inc.",Anaheim,232,Layoff Permanent
05/22/2014,07/20/2014,5/27/2014,Bank of America,Los Angeles,22,Layoff Permanent
05/22/2014,07/25/2014,5/27/2014,Ralphs Grocery Company,Riverside,80,Closure Permanent
05/23/2014,07/23/2014,5/28/2014,New French Bakery/Starbucks Coffee,Ventura,90,Closure Permanent
05/23/2014,07/25/2014,5/30/2014,Boeing Company,Huntington Beach,96,Layoff Not known
05/23/2014,07/25/2014,5/27/2014,Ralphs Grocery Company,La Quinta,67,Layoff Permanent
05/23/2014,07/28/2014,5/28/2014,"Jacobson Staffing Company, L.C.",Tracy,390,Layoff Permanent
05/27/2014,07/22/2014,5/28/2014,Bank of America,Brea,50,Layoff Permanent
05/27/2014,07/27/2014,6/2/2014,Summit Campus,Oakland,1584,Layoff Not known
05/27/2014,07/28/2014,5/28/2014,Beverly Hospital,Montebello,16,Layoff Permanent
05/27/2014,08/01/2014,5/27/2014,"Mi Pueblo Foods, Inc.",Atwater,279,Closure Permanent
05/28/2014,07/28/2014,5/28/2014,St. Jude Medical,Sylmar,274,Layoff Permanent
05/28/2014,07/31/2014,5/28/2014,Grand Cafe,San Francisco,63,Layoff Permanent
05/28/2014,07/31/2014,6/2/2014,Lockheed Martin Corporation,Sunnyvale,62,Layoff Permanent
05/29/2014,08/04/2014,6/2/2014,"AGR Group California, LLC/AGR Group, Inc.",Santa Ana,203,Closure Permanent
05/30/2014,05/30/2014,6/4/2014,Source Interlink Distribution LLC,Ontario,94,Closure Permanent
05/30/2014,06/18/2014,6/2/2014,Symantec Corporation,Mountain View,42,Layoff Permanent
05/30/2014,07/31/2014,6/2/2014,CDIHS/OMI Head Start,San Francisco,76,Layoff Permanent
05/30/2014,07/31/2014,5/30/2014,"QS Wholesale, Inc.",City of Jurupa Valley,66,Layoff Permanent
05/30/2014,08/03/2014,6/5/2014,"California Pizza Kitchen, Inc.",West Covina,60,Layoff Permanent
06/01/2014,07/31/2014,6/4/2014,"Service Response Partners, LLC",Orange,78,Layoff Permanent
06/02/2014,08/01/2014,6/11/2014,"Peerless Building Maintenance, Inc.",Chatsworth,89,Layoff Permanent
06/03/2014,08/04/2014,6/5/2014,"Actavis, Inc.",Corona,58,Layoff Permanent
06/03/2014,08/08/2014,6/4/2014,Xerox Business Services,Los Angeles,51,Layoff Permanent
06/04/2014,08/03/2014,6/9/2014,California Superstores North Sacramento,Sacramento,66,Closure Not known
06/04/2014,08/08/2014,6/4/2014,Amgen Inc.,Thousand Oaks,59,Layoff Permanent
06/04/2014,08/15/2014,6/10/2014,"Supertex, Inc.",Sunnyvale,19,Layoff Permanent
06/05/2014,06/05/2014,6/5/2014,Davis Healthcare Center,Davis,142,Closure Temporary
06/05/2014,08/01/2014,6/5/2014,Bags Inc.,Long Beach,60,Layoff Permanent
06/05/2014,08/01/2014,6/10/2014,Midway Jeep Chrysler Dodge Ram,San Diego,96,Closure Not known
06/05/2014,08/03/2014,6/9/2014,Bank of America,Concord,7,Layoff Permanent
06/05/2014,08/04/2014,6/10/2014,California Superstores Alhambra Chrysler,Alhambra,67,Closure Not known
06/05/2014,08/04/2014,6/10/2014,California Superstores Van Nuys Chrysler,Van Nuys,70,Closure Not known
06/05/2014,08/06/2014,6/10/2014,San Luis Rey Downs Golf Course,Bonsall,47,Closure Permanent
06/09/2014,08/08/2014,6/16/2014,"PSS World Medical, Inc. - McKesson",Santa Ana,14,Closure Permanent
06/09/2014,08/08/2014,6/12/2014,"RevCycle+, Inc.",Cerritos,256,Layoff Permanent
06/09/2014,08/08/2014,6/10/2014,"Samsung Semiconductor, Inc.",Milpitas,111,Layoff Permanent
06/10/2014,08/13/2014,6/10/2014,"Motorola Solutions, Inc.",San Jose,45,Layoff Permanent
06/11/2014,05/13/2014,6/18/2014,BAE Systems,San Francisco,194,Layoff Temporary
06/11/2014,06/12/2014,6/17/2014,"Forward Business Solutions, LLC",Beverly Hills,61,Layoff Not known
06/11/2014,09/01/2014,6/11/2014,"Kerry Flavor Systems US, LLC",Lake Forest,85,Closure Permanent
06/12/2014,06/13/2014,6/16/2014,Hewlett-Packard Company,Palo Alto,36,Layoff Permanent
06/12/2014,07/31/2014,6/18/2014,"Emanual Medical Center, Inc.",Turlock,1130,Layoff Permanent
06/12/2014,07/31/2014,6/18/2014,"Emanual Medical Center, Inc. Brandel",Turlock,175,Closure Not known
06/12/2014,07/31/2014,6/18/2014,"Emanual Medical Center, Inc./Office of",Turlock,9,Layoff Not known
06/16/2014,05/02/2014,6/24/2014,"Plaza de la Raza Child Development Services,",Pico Rivera,52,Layoff Permanent
06/16/2014,08/15/2014,6/24/2014,Alta Bates Summit Medical Center/Summit,Oakland,1,Layoff Permanent
06/17/2014,08/11/2014,6/17/2014,Thermasol,Simi Valley,21,Closure Not known
06/18/2014,08/17/2014,6/23/2014,California Superstores San Leandro Chrysler,San Leandro,69,Closure Not known
06/18/2014,08/17/2014,6/19/2014,Wells Fargo,San Leandro,52,Layoff Not known
06/18/2014,09/01/2014,6/18/2014,"MV Transportation, Inc.",Brisbane,230,Layoff Permanent
06/20/2014,08/20/2014,6/24/2014,California Superstores Sacramento KIA,Sacramento,34,Closure Not known
06/20/2014,08/22/2014,6/24/2014,Boeing Company,Seal Beach,118,Layoff Not known
06/23/2014,08/24/2014,6/30/2014,California Pizza Kitchen,Palo Alto,52,Closure Permanent
06/23/2014,08/29/2014,6/30/2014,NBCUniversal/CP Entertainment Services,Universal City,58,Layoff Not known
06/23/2014,08/29/2014,6/30/2014,NBCUniversal/E Network Productions LLC,Universal City,45,Layoff Permanent
06/23/2014,09/01/2014,6/23/2014,"MiTek USA, Inc.",Livermore,28,Closure Permanent
06/24/2014,08/25/2014,6/25/2014,"Sodexo, Inc.",Stockton,73,Layoff Permanent
06/24/2014,08/31/2014,6/26/2014,Sears Holdings Corporation/Product Rebuild,Oakland,75,Closure Permanent
06/25/2014,06/23/2014,6/30/2014,Children's Hospital of Orange County,Orange,61,Layoff Permanent
06/25/2014,08/23/2014,6/30/2014,"U.S. Auto Parts Network, Inc./Distribution",Carson,78,Closure Permanent
06/25/2014,12/30/2014,6/27/2014,"Beckman Coulter, Inc.",Chino,63,Closure Permanent
06/26/2014,08/24/2014,6/26/2014,"Dobake Bakeries, Inc.",Oakland,221,Closure Not known
06/26/2014,08/26/2014,6/27/2014,"AT&T Mobility Services, LLC/Customer",Atwater,397,Closure Permanent
06/27/2014,07/14/2014,6/27/2014,"Wolfgang Puck Catering & Events, LLC",Los Angeles,76,Layoff Permanent
06/27/2014,08/16/2014,6/30/2014,"United Spiral Pipe, LLC",Pittsburg,44,Layoff Not known
06/27/2014,08/29/2014,6/30/2014,Katzkin Leather Inc.,Montebello,75,Layoff Permanent
06/27/2014,08/31/2014,6/27/2014,"MV Transportation, Inc.",Barstow,30,Layoff Permanent
"Summary by Month
2014",Notices,"Employees
Affected","Permanent
Layoff","Temporary
Layoff","Not Identified
Layoff","Permanent
Closure","Temporary
Closure","Not Identified
Closure"
April,13,"1,004",8,0,1,4,0,0
May,42,"6,914",23,1,4,12,0,2
June,48,"4,978",22,1,6,9,1,9
Total,103,"12,896",53,2,11,25,1,11